"","v001","clust_pop","dhs_year","edu_a","floor_type","household_size.x","household_size.y","housing_q","mean_age.x","mean_age.y","median_age.x","median_age.y","net_ownership","net_use_access","net_use","region","roof_type","shstate","slept_in_pop","U5_pop","wall_type","wealth","fever","preg_women","all_female_sex.x","num_child_6_59","female_child_sex","net_use_child","p_test.x","positives","child_6_59_tested_malaria","med_treat_fever","ACT_use_U5","visitors","all_female_sex.y","p_test.y","first_interview_month","positives_prop","elevation_1000m","housing_2000_4000m","housing_2015_4000m","minutes_nearest_city_1000m","minutes_travel_metre_2015_1000m","minutes_travel_metre_2019_2000m","minutes_walking_healthcare_2000m","minutes_walking_metre_2000m","motorized_travel_healthcare_2019_2000m","pop_den_U5_FB_4000m","pop_density_0m","precipitation_monthly_0m","soil_wetness_0m","temperature_monthly_0m","dist_water_bodies_0m","EVI_0m"
"1",8,378.446355,2010,22.3404255319149,98.9361702127659,6,6,78.7234042553192,24.2127659574468,24.2127659574468,24,24,12.82869,5.37634408602151,3.563525,"north central",86.1702127659574,"benue",66.281565,12.7659574468085,78.7234042553192,100,23.0769230769231,11.5384615384615,41.6666666666667,12,41.6666666666667,16.6666666666667,25,3,12,66.6666666666667,0,1,0.416666666666667,0.25,10,0.2,134.540298461914,0.264040350914001,0.551262348890305,0,0.000566666674179335,0.000991428608540446,9.46666666666667,0.0120000001043081,0.710456637541453,1.37336756801777,419.957336425781,166.850982666016,0.823558390140533,27.1060791015625,1414,0.322685807943344
"2",10,122.972448,2010,16.304347826087,81.9148936170213,5,5,62.7659574468085,20.0531914893617,20.0531914893617,20,20,0.999776,0,0,"north central",100,"fct-abuja",23.494736,18.0851063829787,69.1489361702128,100,43.75,16,76.4705882352941,17,76.4705882352941,0,11.7647058823529,2,17,28.5714285714286,14.2857142857143,NA,NA,NA,12,0.1,362.868240356445,0.127835609018803,0.395606949925423,15.75,0.0289678958943114,0.00109183676873467,35,0.0154285714296358,0.743041494062969,8.471941,700.021057128906,0.10497073829174,0.706779837608337,27.0357475280762,0,0.177753835916519
"3",11,74.168094,2010,39.6551724137931,100,3,3,100,25.9310344827586,25.9310344827586,25,25,10.86712,2.04081632653061,0.271678,"north central",81.0344827586207,"fct-abuja",13.312222,12.0689655172414,100,100,50,5.26315789473684,57.1428571428572,5,60,0,0,0,5,50,0,NA,NA,NA,11,0,62.9261112213135,0.0884746462106705,0.284773468971252,0,0.00375000003259629,0.00121632657412972,8.85714285714286,0.0154285714296358,0.833566554955074,25.85027,609.404357910156,24.5326766967773,0.795895338058472,27.4393138885498,5385,0.267408281564713
"4",15,184.331279,2010,7.59493670886076,88.6075949367089,4,4,83.5443037974684,26.9113924050633,26.9113924050633,24.5,24.5,22.535799,13.9240506329114,6.356251,"north central",98.7341772151899,"kogi",45.649439,18.9873417721519,94.9367088607595,84.8101265822785,0,15.7894736842105,53.3333333333333,15,57.1428571428572,14.2857142857143,50,7,14,NA,NA,2,NA,NA,11,0.5,405.564308166504,0.23137479275465,0.513123244047165,2.75,0.00230000005103648,0.00294292594480794,17.25,0.0188304258044809,2.15027776733041,2.35840044199785,340.395050048828,207.947036743164,0.779297769069672,25.2975654602051,4123,0.39757776260376
"5",16,243.353616,2010,19.2771084337349,90.3614457831325,4,4,90.3614457831325,20.9036144578313,20.9036144578313,22,22,15.25728,3.7037037037037,2.288592,"north central",97.5903614457831,"kogi",61.791984,19.2771084337349,100,100,6.25,9.52380952380953,37.5,15,35.7142857142857,14.2857142857143,0,0,14,0,0,NA,NA,NA,11,0,265.659042358398,0.376234084367752,0.720994591712952,0,0.00146666665871938,0.00118666672303031,8.8,0.0183999999115864,0.669795298576355,3.60309957530507,65.3943252563477,18.8439407348633,0.771730124950409,28.0505256652832,2000,0.262865751981735
"6",17,340.493748,2010,3.73831775700935,85.981308411215,6,6,85.981308411215,16.7570093457944,16.7570093457944,11,11,4.632568,3.84615384615385,2.316284,"north central",98.1308411214953,"kogi",60.223384,24.2990654205607,89.7196261682243,88.785046728972,3.84615384615385,20.8333333333333,50,26,52,0,20,5,25,0,0,NA,NA,NA,11,0.2,67.0916051864624,0.247814640402794,0.571787804365158,0,0.00375000003259629,0.00289811909897253,13.2142857142857,0.0163409761818392,1.72404616006783,2.20787507827238,340.39501953125,64.2014617919922,0.744316220283508,26.3039703369141,7071,0.310918211936951
"7",22,2579.219339,2010,13.0434782608696,90.5172413793103,7,7,38.7931034482759,26.9224137931034,26.9224137931034,23,23,24.834299,1.76991150442478,7.095514,"north central",96.551724137931,"kwara",400.896541,11.2068965517241,38.7931034482759,97.4137931034483,23.0769230769231,6.45161290322581,61.5384615384615,12,66.6666666666667,0,0,0,12,66.6666666666667,0,NA,NA,NA,10,0,502.582336425781,0.261030845344067,0.444109514355659,0,0.000600000028498471,0.00275711709012588,30.3333333333333,0.0257628310471773,2.50720484654109,2.281112064,4293.20263671875,113.15845489502,0.802913546562195,25.7848587036133,1414,0.261656045913696
"8",23,603.965796,2010,12.037037037037,100,5,5,92.5925925925926,21.2037037037037,21.2037037037037,17,17,23.268364,2.80373831775701,3.035004,"north central",100,"kwara",108.248476,12.962962962963,92.5925925925926,97.2222222222222,21.4285714285714,12.5,35.7142857142857,14,36.3636363636364,9.09090909090909,27.2727272727273,3,11,0,0,5,NA,NA,10,0.3,414.97998046875,0.197982981801033,0.414407730102539,0,0.00375000003259629,0.000907142900229831,4.71428571428571,0.0222857140802911,0.216958541955267,3.25937106662005,222.28125,184.276138305664,0.802913546562195,25.0664768218994,2000,0.38375660777092
"9",27,534.996632,2010,7.63888888888889,97.9166666666667,8,8,59.0277777777778,19.9444444444444,19.9444444444444,15,15,95.849488,13.1944444444444,9.291532,"north central",100,"nasarawa",70.420032,18.75,59.0277777777778,96.5277777777778,33.3333333333333,11.1111111111111,40.7407407407407,27,40,16,24,6,25,87.5,0,NA,NA,NA,11,0.2,170.999404907227,0.258826665580273,0.548950135707855,0,0.000666666659526527,0.00110357147786999,2.75,0.0120000001043081,0.260895803570747,2.33753838641523,68.8977355957031,11.5806427001953,0.718307137489319,26.4345855712891,2236,0.393690973520279
"10",34,1454.953266,2010,40.1129943502825,100,8,8,100,23.0960451977401,23.0960451977401,19,19,302.971266,14.9700598802395,28.79955,"north central",96.045197740113,"niger",192.380994,10.1694915254237,100,100,13.3333333333333,2.22222222222222,77.7777777777778,17,75,31.25,0,0,16,100,0,1,NA,NA,11,0,39.3479518890381,NA,NA,0,0.00102500000502914,0.00244803551274041,4,0.0120404165238142,1.02917352318764,8.04398919707685,3129.4609375,5.13002157211304,0.741268754005432,28.2263526916504,3605,0.262696981430054
