"","effect","component","group","term","estimate","std.error","statistic","p.value"
"1","fixed","cond",NA,"(Intercept)",-2.80387586012819,0.57379360080554,-4.88655826100513,1.02613971825589e-06
"2","fixed","cond",NA,"ns(edu_a, 3)1",-0.810978591685496,0.380279252875104,-2.13258700166808,0.032958620544528
"3","fixed","cond",NA,"ns(edu_a, 3)2",-0.792607268712454,0.593294806911749,-1.33594169286291,0.18156833201235
"4","fixed","cond",NA,"ns(edu_a, 3)3",-0.42056954277828,0.945768875348306,-0.444685328245121,0.656547173594247
"5","fixed","cond",NA,"ns(wealth, 3)1",-0.202960492371408,0.215804867729124,-0.9404815308715,0.346970618886915
"6","fixed","cond",NA,"ns(wealth, 3)2",-1.32369740375196,0.429061308542129,-3.08510084083238,0.00203483149873429
"7","fixed","cond",NA,"ns(wealth, 3)3",-0.854408948412102,0.20674705112937,-4.13262943168879,3.58636688342305e-05
"8","fixed","cond",NA,"ns(pop_density_0m, 2)1",0.705987719749096,0.679273564957802,1.0393275348393,0.298652433197889
"9","fixed","cond",NA,"ns(pop_density_0m, 2)2",1.77976629437799,0.56521289470253,3.1488423407514,0.00163918603285834
"10","fixed","cond",NA,"ns(median_age, 2)1",-0.310512958493986,0.402725562909817,-0.771028678314915,0.44068993320828
"11","fixed","cond",NA,"ns(median_age, 2)2",-0.206094277647549,0.603360428585688,-0.341577385395735,0.732668958462199
"12","fixed","cond",NA,"ns(med_treat_fever, knots = seq(min(med_treat_fever), max(med_treat_fever), length = 4)[2:3])1",-0.126836402883169,0.19383513980022,-0.654351956068937,0.51288507969081
"13","fixed","cond",NA,"ns(med_treat_fever, knots = seq(min(med_treat_fever), max(med_treat_fever), length = 4)[2:3])2",0.380413268188117,0.29764185656729,1.27809063071784,0.201217472121857
"14","fixed","cond",NA,"ns(med_treat_fever, knots = seq(min(med_treat_fever), max(med_treat_fever), length = 4)[2:3])3",-0.139499231583159,0.13373312172326,-1.04311654275021,0.296894319888878
"15","fixed","cond",NA,"ns(EVI_0m, 3)1",0.607532230907444,0.27047664674207,2.24615410692663,0.0246941386520675
"16","fixed","cond",NA,"ns(EVI_0m, 3)2",2.56111264946736,0.94086822513006,2.72207369859188,0.00648736730785532
"17","fixed","cond",NA,"ns(EVI_0m, 3)3",0.705085423301158,0.363405996075876,1.9402140606231,0.0523536804221923
"18","fixed","zi",NA,"(Intercept)",-2.59351914065212,0.537297226397315,-4.82697288061988,1.38623989931189e-06
